Município;Mun_Total de casos;Mun_Total de óbitos;Letalidade Mun;Cód IBGE;Latitude;Longitude
Adamantina;1;0;0,00%;3500105;-21,682;-51,0737
Águas de Lindóia;1;1;100,00%;3500501;-22,4733;-46,6314
Águas de São Pedro;1;0;0,00%;3500600;-22,5977;-47,8734
Agudos;6;1;16,67%;3500709;-22,4694;-48,9863
Alambari;1;0;0,00%;3500758;-23,5503;-47,898
Americana;25;3;12,00%;3501608;-22,7374;-47,3331
Américo Brasiliense;5;0;0,00%;3501707;-21,7288;-48,1147
Amparo;5;0;0,00%;3501905;-22,7088;-46,772
Andradina;2;0;0,00%;3502101;-20,8948;-51,3786
Angatuba;1;1;100,00%;3502200;-23,4917;-48,4139
Aparecida;1;0;0,00%;3502507;-22,8495;-45,2325
Apiaí;1;0;0,00%;3502705;-24,5108;-48,8443
Araçariguama;1;0;0,00%;3502754;-23,4366;-47,0608
Araçatuba;37;0;0,00%;3502804;-21,2076;-50,4401
Araçoiaba da Serra;1;0;0,00%;3502903;-23,5029;-47,6166
Arandu;7;0;0,00%;3503109;-23,1386;-49,0487
Araraquara;44;2;4,55%;3503208;-21,7845;-48,178
Araras;6;0;0,00%;3503307;-22,3572;-47,3842
Artur Nogueira;1;0;0,00%;3503802;-22,5727;-47,1727
Arujá;25;1;4,00%;3503901;-23,3965;-46,32
Assis;6;1;16,67%;3504008;-22,66;-50,4183
Atibaia;22;1;4,55%;3504107;-23,1171;-46,5563
Avaí;1;0;0,00%;3504305;-22,1514;-49,3356
Avaré;8;1;12,50%;3504503;-23,1067;-48,9251
Bady Bassitt;2;0;0,00%;3504602;-20,9197;-49,4385
Bariri;1;0;0,00%;3505203;-22,073;-48,7438
Barra do Turvo;1;0;0,00%;3505401;-24,759;-48,5013
Barretos;9;0;0,00%;3505500;-20,5531;-48,5698
Barueri;120;5;4,17%;3505708;-23,5057;-46,879
Batatais;1;0;0,00%;3505906;-20,8929;-47,5921
Bauru;56;3;5,36%;3506003;-22,3246;-49,0871
Bebedouro;2;0;0,00%;3506102;-20,9491;-48,4791
Bilac;1;0;0,00%;3506409;-21,404;-50,4746
Birigui;6;0;0,00%;3506508;-21,291;-50,3432
Boituva;6;0;0,00%;3507001;-23,2855;-47,6786
Botucatu;27;2;7,41%;3507506;-22,8837;-48,4437
Bragança Paulista;36;7;19,44%;3507605;-22,9527;-46,5419
Brodowski;4;0;0,00%;3507803;-20,9845;-47,6572
Buritama;3;0;0,00%;3508108;-21,0661;-50,1475
Caçapava;7;0;0,00%;3508504;-23,0992;-45,7076
Cachoeira Paulista;3;0;0,00%;3508603;-22,6665;-45,0154
Caiabu;1;1;100,00%;3508900;-22,0127;-51,2394
Caieiras;49;6;12,24%;3509007;-23,3607;-46,7397
Cajamar;7;1;14,29%;3509205;-23,355;-46,8781
Cajuru;2;0;0,00%;3509403;-21,2749;-47,303
Campinas;184;7;3,80%;3509502;-22,9053;-47,0659
Campo Limpo Paulista;5;1;20,00%;3509601;-23,2078;-46,7889
Campos do Jordão;1;0;0,00%;3509700;-22,7296;-45,5833
Cananéia;1;0;0,00%;3509908;-25,0144;-47,9341
Capão Bonito;1;0;0,00%;3510203;-24,0113;-48,3482
Caraguatatuba;13;2;15,38%;3510500;-23,6125;-45,4125
Carapicuíba;74;3;4,05%;3510609;-23,5235;-46,8407
Castilho;1;0;0,00%;3511003;-20,8689;-51,4884
Catanduva;9;2;22,22%;3511102;-21,1314;-48,977
Cedral;1;0;0,00%;3511300;-20,9009;-49,2664
Conchas;1;1;100,00%;3512308;-23,0154;-48,0134
Cotia;80;5;6,25%;3513009;-23,6022;-46,919
Cravinhos;6;1;16,67%;3513108;-21,338;-47,7324
Cruzeiro;3;1;33,33%;3513405;-22,5728;-44,969
Cubatão;22;0;0,00%;3513504;-23,8911;-46,424
Diadema;120;5;4,17%;3513801;-23,6813;-46,6205
Dracena;3;2;66,67%;3514403;-21,4843;-51,535
Duartina;1;0;0,00%;3514502;-22,4146;-49,4084
